ID,URL,Name,Notes
PD,http://creativecommons.org/about/pdm,Public Domain ,
CC0,http://creativecommons.org/about/cc0,Creative Commons Zero ,
ODbL,http://opendatacommons.org/licenses/odbl/,Open Data Commons Open Database License ,
OGL,http://www.nationalarchives.gov.uk/doc/open-government-licence/,Open Government License ,
CC-BY,http://creativecommons.org/licenses/by/3.0/,Creative Commons Attribution ,
CC-BY-NC,http://creativecommons.org/licenses/by-nc/3.0/,Creative Commons Attribution Non-Commercial ,
CC-BY-SA,http://creativecommons.org/licenses/by-sa/3.0/,Creative Commons Attribution Share-Alike ,
CC-BY-NC-SA,http://creativecommons.org/licenses/by-nc-sa/3.0/,Creative Commons Attribution Non-Commercial Share-Alike ,
CC-BY-NC-ND,http://creativecommons.org/licenses/by-nc-nd/3.0/,Creative Commons Attribution Non-Commercial No Derivative Works,
T+C,,Terms and Conditions,The data/entry has specific terms and conditions. Look at the main body of the article for more information.
©,,Copyright / Closed Data,The data/entry is rights restricted and not available under open license terms: someone should have a word...
