id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1974-100,Pocket horizontal sundial,Ansonia Sunwatch (pocket compass dial),Ansonia Clock Co.,1922-1939,"New York county, New York state, United States",,,Ansonia Sunwatch (pocket compass dial),WHOLE,SCM - Time Measurement
1883-74,spring-driven clock mechanism; fusee; model,Model of train of wheels used in a clock (full size) with pa,,,,,,Model of train of wheels used in a clock (full size) with pair of vanes and base,WHOLE,SCM - Time Measurement
1953-404,log (nautical instrument); sandglass,Ship's log-glass in wooden mount. 14 secs. Abbot Horne No.22,,,,glass; sand; mounted; wood; timer,,Ship's log-glass in wooden mount. 14 secs. Abbot Horne No.22. Type B,WHOLE,SCM - Time Measurement
1970-377,pocket watch; duplex watch,Watch with Chinese duplex escapement,,,,,,Watch with Chinese duplex escapement,WHOLE,SCM - Time Measurement
1979-5,,"""Ever Ready"" ceiling clock",Ever Ready Co. (maker),,,,"overall: 140 mm x 124 mm x 152 mm,","""Ever Ready"" ceiling clock",WHOLE,SCM - Time Measurement
1938-371,diptych sundial,Ivory diptych dial by Jasper Milner,"Milner, Jasper",1501-1600,,dial: ivory,,Ivory diptych dial by Jasper Milner,WHOLE,SCM - Time Measurement
1883-64,deadbeat escapement; clock mechanism; model,Dead-beat escapement model (full size) with wooden stand.,,,,stand: wood,,Dead-beat escapement model (full size) with wooden stand.,WHOLE,SCM - Time Measurement
1953-448,sand glass,"Large single sand-glass in wooden mount, 21 1/2"" long x 11""",,,,overall: glass; mount: wood,overall: 555 mm x 275 mm,"Large single sand-glass in wooden mount, 21 1/2"" long x 11"" diameter. Abbot Horne No.111. Type A",WHOLE,SCM - Time Measurement
1985-438,Spring driven pendulum clock,Copy  of a Dwerrihouse skeleton clock with coup-perdu escape,Thwaites and Reed Ltd. (maker),1973,"London, England, United Kingdom","brass (copper, zinc alloy); steel (metal); wood (unidentified)","overall: 380 mm x 300 mm x 192 mm, weight: 6.45kg","Copy  of a Dwerrihouse skeleton clock with coup-perdu escapement. Made by Thwaites and Reed, London, England, 1973. No. 88 of a limited edition of 100.",WHOLE,SCM - Time Measurement
1985-475,Electrically driven pendulum clock,"Synchronome free pendulum clock, patented by F. Hope-Jones i",Synchronome Co. Ltd. (maker),,"London, Greater London, England, United Kingdom",,"overall: 1350 mm x 364 mm x 200 mm,","Synchronome free pendulum clock, patented by F. Hope-Jones in 1935, in oak case, lacks both pendulums, with weight (probably not original)",WHOLE,SCM - Time Measurement
